2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
95.1649 	EXP 	fixation: autoDraw = False
95.1649 	EXP 	grating: autoDraw = False
95.1651 	EXP 	window1: recordFrameIntervals = False
96.1672 	EXP 	fixation: autoDraw = True
97.1532 	EXP 	grating: autoDraw = True
97.1532 	EXP 	grating: tex = 'sin'
97.1699 	EXP 	fixation: autoDraw = False
97.4546 	EXP 	grating: autoDraw = False
97.8749 	EXP 	window1: recordFrameIntervals = False
97.8767 	DATA 	Keypress: right
97.8887 	EXP 	fixation: autoDraw = False
97.8887 	EXP 	grating: autoDraw = False
97.8889 	EXP 	window1: recordFrameIntervals = False
98.8912 	EXP 	fixation: autoDraw = True
99.8773 	EXP 	grating: autoDraw = True
99.8773 	EXP 	grating: tex = 'sin'
99.8942 	EXP 	fixation: autoDraw = False
100.1784 	EXP 	grating: autoDraw = False
100.3483 	EXP 	window1: recordFrameIntervals = False
100.3502 	DATA 	Keypress: left
100.3622 	EXP 	fixation: autoDraw = False
100.3622 	EXP 	grating: autoDraw = False
100.3623 	EXP 	window1: recordFrameIntervals = False
101.3644 	EXP 	fixation: autoDraw = True
102.3509 	EXP 	grating: autoDraw = True
102.3509 	EXP 	grating: tex = 'sin'
102.3676 	EXP 	fixation: autoDraw = False
102.6516 	EXP 	grating: autoDraw = False
102.7535 	EXP 	window1: recordFrameIntervals = False
102.7555 	DATA 	Keypress: right
102.7682 	EXP 	fixation: autoDraw = False
102.7682 	EXP 	grating: autoDraw = False
102.7684 	EXP 	window1: recordFrameIntervals = False
103.7710 	EXP 	fixation: autoDraw = True
104.7566 	EXP 	grating: autoDraw = True
104.7566 	EXP 	grating: tex = 'sin'
104.7738 	EXP 	fixation: autoDraw = False
105.0577 	EXP 	grating: autoDraw = False
105.1761 	EXP 	window1: recordFrameIntervals = False
105.1776 	DATA 	Keypress: left
105.1918 	EXP 	fixation: autoDraw = False
105.1918 	EXP 	grating: autoDraw = False
105.1919 	EXP 	window1: recordFrameIntervals = False
